dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,Mmm,quarter,fiscal_year,district
14_5,2021-01-01,1414,19863923,1502,21335521,Jan,Q4,2020,Narayanpet
17_3,2021-01-01,3867,44888287,3989,46725414,Jan,Q4,2020,Siddipet
20_3,2021-01-01,1667,19340158,1700,19576930,Jan,Q4,2020,Rajanna Sircilla
16_1,2021-01-01,6473,934665789,6803,908230432,Jan,Q4,2020,Hyderabad
21_6,2021-01-01,810,9883449,898,9423286,Jan,Q4,2020,Mulugu
19_4,2021-01-01,257,4415248,283,4491698,Jan,Q4,2020,Kumurambheem Asifabad
23_1,2021-01-01,8549,129561395,8701,127273791,Jan,Q4,2020,Nalgonda
19_3,2021-01-01,2082,44855428,2139,43192088,Jan,Q4,2020,Mancherial
21_5,2021-01-01,1477,27949112,1898,32364121,Jan,Q4,2020,Mahabubabad
21_2,2021-01-01,950,18594943,1009,20731077,Jan,Q4,2020,Warangal
14_3,2021-01-01,3146,33067131,3223,33781223,Jan,Q4,2020,Nagarkurnool
14_1,2021-01-01,3954,79370990,4116,79833516,Jan,Q4,2020,Mahabubnagar
15_1,2021-01-01,29331,2927198637,30526,2998803477,Jan,Q4,2020,Rangareddy
21_3,2021-01-01,1444,30147574,1549,26590807,Jan,Q4,2020,Jangoan
21_1,2021-02-01,6344,232297899,6436,220605678,Feb,Q4,2020,Hanumakonda
20_3,2021-02-01,2238,26235213,2227,26474128,Feb,Q4,2020,Rajanna Sircilla
19_3,2021-02-01,2476,44942116,2796,48731429,Feb,Q4,2020,Mancherial
14_4,2021-02-01,1941,22259156,2016,22051415,Feb,Q4,2020,Wanaparthy
20_1,2021-02-01,4423,108104735,4568,107504751,Feb,Q4,2020,Karimnagar
14_2,2021-02-01,2537,29901052,2563,27635480,Feb,Q4,2020,Jogulamba Gadwal
23_1,2021-02-01,6963,108491776,7045,113320097,Feb,Q4,2020,Nalgonda
20_2,2021-02-01,2102,41016225,2096,41712838,Feb,Q4,2020,Jagtial
14_3,2021-02-01,2551,28537659,2585,26827361,Feb,Q4,2020,Nagarkurnool
14_1,2021-02-01,3310,71273670,3378,68717372,Feb,Q4,2020,Mahabubnagar
20_4,2021-02-01,2054,46597190,2248,48476258,Feb,Q4,2020,Peddapalli
21_2,2021-02-01,900,15494825,891,13478757,Feb,Q4,2020,Warangal
22_2,2021-02-01,1028,23092812,930,20093919,Feb,Q4,2020,Bhadradri Kothagudem
19_4,2021-02-01,206,3473879,216,3324890,Feb,Q4,2020,Kumurambheem Asifabad
